order_gid,order_name,order_created_at,order_processed_at,order_financial_status,order_total_amount,order_currency,transaction_gid,transaction_kind,transaction_status,transaction_gateway,transaction_created_at,transaction_processed_at,transaction_amount,transaction_currency,fee_type,fee_amount,fee_currency,fee_tax_amount,fee_tax_currency,fee_rate_name,fee_flat_fee_name,fee_rate
gid://shopify/Order/6943251890366,#1001,2025-07-23T09:17:29Z,2025-07-23T09:17:24Z,REFUNDED,39.2,USD,gid://shopify/OrderTransaction/8328383234238,CAPTURE,SUCCESS,shopify_payments,2025-07-23T09:17:31Z,2025-07-23T09:17:31Z,39.2,USD,processing_fee,1.75,USD,0.0,USD,international_card_not_present,,0.037
gid://shopify/Order/6945778532542,#1002,2025-07-24T14:06:47Z,2025-07-24T14:06:44Z,REFUNDED,39.2,USD,gid://shopify/OrderTransaction/8331512185022,CAPTURE,SUCCESS,shopify_payments,2025-07-24T14:06:48Z,2025-07-24T14:06:49Z,39.2,USD,processing_fee,1.75,USD,0.0,USD,international_card_not_present,,0.037
gid://shopify/Order/6946597109950,#1003,2025-07-24T20:26:12Z,2025-07-24T20:26:09Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8332518031550,CAPTURE,SUCCESS,shopify_payments,2025-07-24T20:26:13Z,2025-07-24T20:26:15Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6946785493182,#1004,2025-07-24T22:23:44Z,2025-07-24T22:23:41Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8332753895614,CAPTURE,SUCCESS,shopify_payments,2025-07-24T22:23:45Z,2025-07-24T22:23:46Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6946848145598,#1005,2025-07-24T23:03:22Z,2025-07-24T23:03:17Z,REFUNDED,117.0,USD,gid://shopify/OrderTransaction/8332828737726,SALE,SUCCESS,shopify_payments,2025-07-24T23:03:18Z,2025-07-24T23:03:18Z,117.0,USD,processing_fee,3.46,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6946886287550,#1006,2025-07-24T23:29:19Z,2025-07-24T23:29:15Z,REFUNDED,39.2,USD,gid://shopify/OrderTransaction/8332873859262,CAPTURE,SUCCESS,shopify_payments,2025-07-24T23:29:20Z,2025-07-24T23:29:21Z,39.2,USD,processing_fee,1.36,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6946899886270,#1007,2025-07-24T23:39:17Z,2025-07-24T23:39:13Z,REFUNDED,39.2,USD,gid://shopify/OrderTransaction/8332893651134,CAPTURE,SUCCESS,shopify_payments,2025-07-24T23:39:18Z,2025-07-24T23:39:18Z,39.2,USD,processing_fee,1.36,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6946976432318,#1008,2025-07-25T00:32:51Z,2025-07-25T00:32:48Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8332984025278,CAPTURE,SUCCESS,shopify_payments,2025-07-25T00:32:52Z,2025-07-25T00:32:53Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6946978857150,#1009,2025-07-25T00:34:03Z,2025-07-25T00:33:59Z,REFUNDED,93.6,USD,gid://shopify/OrderTransaction/8332986286270,CAPTURE,SUCCESS,shopify_payments,2025-07-25T00:34:04Z,2025-07-25T00:34:05Z,93.6,USD,processing_fee,2.83,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6947027189950,#1010,2025-07-25T01:11:22Z,2025-07-25T01:11:17Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8333045399742,CAPTURE,SUCCESS,shopify_payments,2025-07-25T01:11:23Z,2025-07-25T01:11:25Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/6947869032638,#1012,2025-07-25T13:03:37Z,2025-07-25T13:03:33Z,REFUNDED,39.2,USD,gid://shopify/OrderTransaction/8334073299134,SALE,SUCCESS,shopify_payments,2025-07-25T13:03:33Z,2025-07-25T13:03:33Z,39.2,USD,processing_fee,1.59,USD,0.0,USD,amex_card_not_present,,0.033
